number,group,age,gender,education,familyincome,offender,SAVRY1,SAVRY2,SAVRY3,SAVRY4,SAVRY5,SAVRY6,SAVRY7,SAVRY8,SAVRY9,SAVRY10,H,SAVRY11,SAVRY12,SAVRY13,SAVRY14,SAVRY15,SAVRY16,S,SAVRY17,SAVRY18,SAVRY19,SAVRY20,SAVRY21,SAVRY22,SAVRY23,SAVRY24,I,P1,P2,P3,P4,P5,P6,P,Reoffending
02010002,1,16,1,7,2,2,3,2,1,2,1,1,2,1,3,1,3,3,1,1,3,2,1,1,2,1,2,1,2,1,1,1,0,2,1,1,1,2,2,3,0
03010050,1,16,1,7,2,4,3,2,2,3,1,2,2,3,2,2,3,1,3,3,2,3,2,3,3,2,2,1,1,2,1,2,0,2,1,1,2,2,2,4,0
03010059,1,16,1,8,2,4,2,1,1,2,1,1,2,3,2,2,1,3,3,2,3,1,1,3,1,3,2,2,2,1,1,3,2,1,1,2,1,2,2,3,0
04010034,1,15,1,8,2,4,3,3,3,1,1,2,1,1,1,3,4,3,1,1,2,1,2,1,2,2,2,1,2,1,1,3,1,1,1,1,1,2,1,1,0
04010058,1,15,1,1,2,4,3,3,3,3,1,1,1,1,2,2,4,2,2,1,3,2,2,1,2,2,1,1,2,1,2,3,1,1,2,2,2,2,2,5,0
04010024,1,15,1,9,2,4,3,2,2,3,1,2,2,1,2,3,3,3,1,1,2,3,2,2,2,2,1,2,2,1,2,3,1,1,2,2,2,2,2,5,0
04010062,1,14,1,7,2,4,3,3,3,3,1,1,1,1,2,2,4,2,1,1,2,2,2,0,2,1,2,1,2,1,2,3,1,1,2,1,2,2,1,3,0
05010024,1,18,1,5,2,4,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,2,2,3,1,2,2,2,2,2,2,6,1
02010036,1,18,1,3,2,2,3,3,3,3,1,1,3,1,2,2,5,3,2,1,3,3,2,3,3,2,2,2,3,3,3,3,5,2,2,1,2,2,1,4,1
02010066,1,18,1,8,2,5,3,3,2,2,3,2,2,1,1,3,4,3,2,2,2,3,2,2,2,3,1,2,2,2,2,3,2,2,2,2,2,2,2,6,1
02010050,1,18,1,9,2,5,3,3,2,1,1,1,2,1,1,2,2,3,3,3,2,1,3,4,3,1,2,2,1,1,2,2,1,1,1,2,2,2,2,4,1
02010010,1,17,1,7,2,2,3,1,3,2,1,2,2,1,1,1,2,3,1,1,2,2,2,1,2,3,1,2,2,2,2,3,1,2,2,1,1,1,1,2,1
02010061,1,17,1,9,2,4,3,3,3,3,1,3,3,1,3,2,7,3,3,1,2,3,2,2,3,2,1,2,2,2,3,3,3,2,2,2,2,1,1,4,1
02010009,1,17,1,5,2,1,3,2,2,3,1,2,2,1,1,3,3,3,2,3,1,1,2,2,1,3,2,2,1,2,1,3,2,1,1,2,1,2,1,2,1
02010081,1,17,1,8,2,1,1,1,1,1,1,1,2,1,1,2,0,1,1,2,2,1,1,0,3,1,1,2,1,1,2,2,1,2,2,1,1,1,2,3,1
04010056,1,17,1,8,2,4,2,2,1,1,1,1,1,1,1,2,0,2,1,1,2,2,2,0,2,2,1,1,2,1,2,2,0,2,2,2,2,2,2,5,1
02010057,1,17,1,10,2,5,1,3,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,0,1,3,1,2,2,1,2,2,1,2,2,2,1,2,2,5,1
02010055,1,17,1,6,2,5,3,3,1,2,1,2,2,2,1,3,3,3,2,1,2,2,3,2,2,2,3,2,2,3,3,3,3,2,2,1,2,2,2,5,1
02010026,1,17,1,10,2,2,3,2,3,3,1,2,2,2,1,2,3,3,2,2,2,2,2,1,2,3,3,3,2,2,3,3,5,2,1,1,2,2,2,4,1
02010054,1,17,1,7,2,2,1,2,1,1,1,2,2,1,1,3,1,1,2,3,1,1,1,1,1,2,1,2,2,1,1,2,0,2,1,2,1,2,2,4,1
